,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sl No,ASIN,Product Title,Material Code,Sellable On Hand Units,Weeks On Hand,Sell-out last week,12 weeks sell-out,Forecast next week,26 weeks forecast,"PAN Havells WH stock in Hands 
(Total)","PAN Havells WH stock in Hands 
(Trade)","PAN Havells WH stock in Hands 
(Non trade)",Plant / CWH,"Delhi - Havells WH stock in Hands 
(Total)","Mumbai - Havells WH stock in Hands 
(Total)","Bangalore - Havells WH stock in Hands 
(Total)","Hyd- Havells WH stock in Hands 
(Total)","Chennai - Havells WH stock in Hands 
(Total)","Calcutta - Havells WH stock in Hands 
(Total)",Open Purchase Order Quantity,Pending PO Qty,Production Plan,Production MTD,Rep OOS,Replenishment Action,Unsellable On Hand Units,Aged 90+ Days Sellable Units,Unhealthy Units,Replenishment Category
Source,AMZ - Inv report,AMZ - Inv report,Havells SAP,AMZ - Inv report,AMZ - Forecast report,AMZ - Forecast report,AMZ - Forecast report,AMZ - Forecast report,AMZ - Forecast report,Havells SAP,Havells SAP,Havells SAP,Havells SAP,Havells SAP,Havells SAP,Havells SAP,Havells SAP,Havells SAP,Havells SAP,AMZ - Forecast report,Havells SAP,Havells SAP,Havells SAP,AMZ - Forecast report,OUTPUT,AMZ - Inv report,AMZ - Inv report,AMZ - Inv report,AMZ - Inv report
,B073S62RFC,Havells Artemis 1200mm Fan (Elegant White),FHCRMSTWHT48,110,8,7,,16.717,,400,,,,,,,,,,0,,,,7.64%,Trigger stock movement to CT WH,2,12,0,
,B00B4BC4L2,Havells Sprint LED 400mm Pedestal Fan (Blue),FHSSPSTBLU16,109,33,26,,4.832,,2031,,,,,,,,,,132,,,,0.00%,Trigger stock movement to CT WH,2,46,79,
,B00B4BBFVW,Havells Nicola 1200mm Ceiling Fan (Pearl Ivory),FHCNISTPIV48e,109,8,22,,16.635,,62,,,,,,,,,,0,,,,0.47%,Trigger stock movement to CT WH,2,94,0,
,B07BH468SW,Havells DHMGIDPX040 PVC Plastic 40A DP Switch Disconnector Euro 2 (White),DHMGIDPX040,108,10,13,,12.678,,87912,,,,,,,,,,25,,,,0.00%,Trigger stock movement to CT WH,0,99,0,
,B00B4BC9IA,Havells Airbol 450mm High Speed Wall Fan (White),FHWABHSWHT18,108,23,0,,6.809,,3209,,,,,,,,,,0,,,,11.36%,Trigger stock movement to CT WH,1,2,12,
,B07K4SCRVC,Havells Max Alkaline 7-Liter RO+UV Water Purifier (Blue/White),GHWRPMD015,106,9,25,,13.038,,641,,,,,,,,,,0,,,,0.00%,Trigger stock movement to CT WH,3,106,0,
,B073S693X3,Havells Nicola 600mm Fan (Pearl White Silver),FHCNISTPWS24,106,5,22,,23.17,,803,,,,,,,,,,70,,,,0.00%,Trigger stock movement to CT WH,7,9,0,
,B0152VU34E,Havells Monza EC 25-Litre Storage Water Heater with Flexi Pipe (Ivory),GHWAMFSIV025,104,12,2,,10.304,,69,,,,,,,,,,0,,,,0.08%,Trigger stock movement to CT WH,1,0,0,
,B00B4BBH1K,Havells Orion 1200mm Ceiling Fan (Silver),FHCORSTBSN48,103,19,2,,7.307,,2246,,,,,,,,,,0,,,,29.22%,Trigger stock movement to CT WH,3,0,0,
,B07BH486XB,Havells DHMGBSPF010 PVC Plastic 10A MCB SP B Curve (White),DHMGBSPF010,101,13,9,,9.997,,98787,,,,,,,,,,2,,,,0.00%,Trigger stock movement to CT WH,0,14,0,
,B00IA36I3W,Havells Crust 800-Watt Pop-up Toaster (White),GHCPTAZW080,101,34,5,,5.185,,118,,,,,,,,,,0,,,,2.38%,Trigger stock movement to CT WH,1,76,31,
